id,분류,제목,본문
h11,근무,유연근무제,출근 시각을 오전 8시부터 10시 사이에서 고를 수 있습니다. 고른 시각은 한 달 단위로 바꿀 수 있습니다. 어느 시각을 고르든 하루 8시간 근무는 같습니다.
h12,근무,근태 기록,출퇴근은 사원증이나 근태 시스템으로 매일 기록합니다. 기록이 빠지면 급여 계산에서 빠질 수 있으니 그달 안에 정정을 신청합니다. 재택근무를 한 날도 같은 방법으로 기록합니다.
h13,근무,초과근무,정해진 근무시간을 넘겨 일하려면 미리 초과근무를 신청해 승인을 받습니다. 승인 없이 남은 시간은 수당으로 인정되지 않습니다. 초과근무는 한 주에 12시간을 넘길 수 없습니다.
h14,근무,출장,출장은 출발 전에 신청서를 내고 승인을 받습니다. 교통비와 숙박비는 영수증을 붙여 복귀한 뒤 7일 안에 정산합니다. 식비는 하루 정액으로 지급되어 영수증이 필요 없습니다.
h15,급여,급여 지급,급여는 매월 25일에 지급되고 그날이 휴일이면 앞당겨 지급합니다. 급여 명세서는 지급일에 사내 시스템에서 확인할 수 있습니다. 받는 계좌를 바꾸려면 지급일 일주일 전까지 인사팀에 알려야 합니다.
h16,급여,공제 항목,"급여에서는 국민연금과 건강보험, 고용보험과 소득세가 공제됩니다. 공제 금액은 급여 명세서의 공제 항목에서 확인할 수 있습니다. 보험료율이 바뀌면 그달부터 공제액이 달라집니다."
h17,급여,연말정산,연말정산 자료는 1월에 사내 시스템으로 제출합니다. 국세청 간소화 서비스에서 받은 자료를 올리고 빠진 증빙은 따로 첨부합니다. 정산 결과는 2월 급여에 반영됩니다.
h18,급여,퇴직연금,회사는 확정기여형 퇴직연금에 해마다 한 번 회사 부담금을 넣습니다. 적립금은 가입한 금융기관에서 운용 상품을 직접 고를 수 있습니다. 퇴직하면 개인형 퇴직연금 계좌로 옮겨 받습니다.
h19,복리후생,건강검진,"만 30세 이상 직원은 해마다, 그 미만은 2년에 한 번 건강검진을 받습니다. 검진 비용은 회사가 지정한 병원에서 받으면 전액 지원됩니다. 검진을 받은 날은 근무한 것으로 봅니다."
h20,복리후생,단체보험과 의료비,"직원과 배우자, 자녀는 회사가 가입한 단체 실손보험의 보장을 받습니다. 병원비를 낸 영수증을 올리면 보험사가 심사해 지급합니다. 본인 부담이 큰 치료는 미리 인사팀에 문의하는 것이 좋습니다."
h21,복리후생,교육비 지원,직무와 관련한 외부 교육을 들으면 수강료의 절반을 연간 100만원까지 지원합니다. 수강하기 전에 신청서를 내고 승인을 받아야 합니다. 수료증을 내지 못하면 지원금을 돌려주어야 합니다.
h22,복리후생,자격증 취득,회사가 정한 목록에 있는 자격증을 따면 응시료와 축하금을 지급합니다. 같은 자격증은 한 번만 지원되고 불합격한 응시료는 지원되지 않습니다. 목록에 없는 자격증은 인사팀에 검토를 요청할 수 있습니다.
h23,복리후생,복지포인트,"해마다 초에 복지포인트가 지급되고 사내 복지몰에서 쓸 수 있습니다. 도서와 문화, 건강 관련 상품을 살 수 있습니다. 그해에 쓰지 않은 포인트는 다음 해로 넘어가지 않습니다."
h24,증명,증명서 발급,재직증명서와 경력증명서는 사내 시스템에서 직접 뽑을 수 있습니다. 발급 기록은 인사팀에 남고 사용 목적을 적어야 합니다. 영문 증명서는 인사팀에 요청하면 2일 안에 받을 수 있습니다.
