id,name,region,type,entrance_fee,description
t26,을왕리 해수욕장,인천,해변,0,인천공항에서 가까운 서해 해변으로 물이 빠지면 갯벌이 드러나고 붉은 일몰을 보러 사람들이 찾는다.
t27,낙산 해수욕장,강원,해변,0,양양 낙산사 아래 넓게 펼쳐진 백사장으로 뒤편 소나무 숲과 함께 여름 피서지로 이름났다.
t28,정동진 해변,강원,해변,0,기차역이 바다와 맞닿아 있어 새해 첫 해돋이를 보려는 사람들이 몰리는 동해 해변이다.
t29,함덕 해수욕장,제주,해변,0,옥색 물빛이 얕게 펼쳐져 아이와 함께 물놀이하기 좋은 제주 북동쪽 해변이다.
t30,중문 색달 해변,제주,해변,0,검은 모래가 섞인 제주 남쪽 해변으로 파도가 높아 서핑과 윈드서핑을 즐기는 사람이 많다.
t31,광안리 해수욕장,부산,해변,0,밤이면 광안대교에 불이 들어와 야경을 보며 백사장을 걷기 좋은 도심 속 해변이다.
t32,송정 해수욕장,부산,해변,0,파도가 알맞아 서핑 강습이 활발한 부산 동쪽 해변으로 보드를 빌려 타는 초보자가 많다.
t33,다대포 해수욕장,부산,해변,0,낙동강이 바다와 만나는 곳의 얕은 모래펄 해변으로 여름 저녁이면 물을 뿜는 낙조분수가 열린다.
t34,진하 해수욕장,울산,해변,0,물이 빠지면 앞바다 명선도까지 모랫길이 드러나는 울산 남쪽 해변으로 여름 캠핑객이 많다.
t35,상주 은모래비치,경남,해변,0,고운 모래가 반달처럼 휘어 있는 남해군 해변으로 물결이 잔잔해 가족 단위 피서객이 찾는다.
t36,변산 해수욕장,전북,해변,0,완만한 서해 백사장에 붉은 노을이 내려앉는 부안의 해변으로 개장 역사가 오래됐다.
t37,만리포 해수욕장,충남,해변,0,태안반도 서쪽에 길게 뻗은 백사장으로 여름 피서와 서핑을 함께 즐기는 곳이다.
t38,꽃지 해변,충남,해변,0,할미바위와 할아비바위 사이로 해가 지는 안면도 해변으로 일몰 사진 명소로 꼽힌다.
t39,강문 해변,강원,해변,0,경포 호수와 바다가 만나는 강릉의 작은 해변으로 솟대다리와 카페 거리가 이어진다.
t40,영일대 해수욕장,경북,해변,0,바다 위에 세운 누각에 올라 포항 앞바다를 내려다볼 수 있는 도심 해변이다.
t41,창덕궁,서울,역사,3000,산자락 지형을 그대로 살려 지은 조선 궁궐로 뒤편 후원의 정원 풍경이 특히 아름답다.
t42,덕수궁,서울,역사,1000,서양식 석조전과 전통 전각이 나란히 선 궁궐로 도심 한복판에서 근대사의 흔적을 본다.
t43,창경궁,서울,역사,1000,조선 왕실이 생활 공간으로 쓰던 궁궐로 봄이면 옥천교 둘레에 꽃이 흐드러지게 핀다.
t44,숭례문,서울,역사,0,한양 도성의 남쪽 정문으로 화재 뒤 복원돼 지금도 도심 한가운데 서 있는 성문이다.
t45,석굴암,경북,역사,0,토함산 중턱에 돌을 쌓아 만든 인공 석굴로 안쪽 한가운데 본존불이 모셔져 있다.
t46,첨성대,경북,역사,0,신라 시대에 별을 살피려고 돌을 차곡차곡 쌓아 올린 천문대로 경주 들판에 홀로 서 있다.
t47,해인사,경남,역사,0,팔만대장경 목판을 보관한 장경판전이 있는 절로 가야산 깊은 자락에 자리한다.
t48,부석사,경북,역사,0,오래된 목조 건물인 무량수전이 남아 있는 절로 마루에 서면 산줄기가 겹겹이 내려다보인다.
t49,통도사,경남,역사,0,부처의 사리를 모셔 대웅전에 불상을 두지 않은 절로 양산 영축산 아래 넓게 자리한다.
t50,공산성,충남,역사,3000,금강을 낀 언덕에 백제가 쌓은 성으로 성벽을 따라 걸으며 강줄기를 내려다본다.
t51,부소산성,충남,역사,2000,백제의 마지막 도읍을 지키던 산성으로 낙화암과 고란사로 이어지는 숲길이 있다.
t52,미륵사지,전북,역사,0,백제가 세운 큰 절터로 우리나라에서 가장 오래되고 규모가 큰 석탑이 남아 있다.
t53,낙안읍성,전남,역사,4000,성벽 안에 초가집이 늘어선 마을로 지금도 주민이 살며 조선 시대 생활 모습을 지킨다.
t54,강화 고인돌 유적,인천,역사,0,청동기 시대 무덤인 커다란 고인돌이 들판 곳곳에 남아 있는 유적지다.
t55,남한산성,경기,역사,0,산줄기를 따라 길게 쌓은 조선의 산성으로 성벽 길을 걸으며 도읍을 지키던 방어 체계를 본다.
t56,성산일출봉,제주,자연,5000,바다에서 솟아오른 커다란 분화구로 정상에 오르면 사방이 트여 일출 명소로 꼽힌다.
t57,만장굴,제주,자연,4000,용암이 흘러가며 만든 긴 동굴로 안쪽 끝에 커다란 용암 기둥이 서 있다.
t58,우도,제주,자연,0,소가 누운 모습을 닮은 섬으로 배를 타고 들어가 해안 길을 자전거로 도는 재미가 있다.
t59,중문 대포 주상절리대,제주,자연,2000,육각 기둥 모양 바위가 병풍처럼 늘어선 바다 절벽으로 파도가 부딪히는 모습을 내려다본다.
t60,월정사 전나무 숲길,강원,자연,0,오대산 절 앞으로 아름드리 전나무가 늘어선 흙길로 천천히 걸으며 숲 냄새를 맡는다.
t61,남이섬,강원,자연,19000,강 위에 떠 있는 섬으로 메타세쿼이아 길과 잣나무 숲을 걸으며 사계절 풍경을 본다.
t62,소금산 출렁다리,강원,자연,10000,원주 협곡 위에 놓인 흔들리는 다리로 발아래로 깊은 계곡이 내려다보인다.
t63,무등산 주상절리대,광주,자연,0,산 능선에 돌기둥이 병풍처럼 늘어선 곳으로 오래전 화산 활동의 흔적을 볼 수 있다.
t64,우포늪,경남,자연,0,우리나라에서 가장 넓은 자연 늪으로 물풀 사이에 새와 물고기가 어울려 산다.
t65,내장산 단풍길,전북,자연,0,가을이면 산 전체가 붉게 물드는 단풍 명소로 계곡을 따라 걷는 길이 이어진다.
t66,마이산,전북,자연,3000,말 귀를 닮은 두 바위 봉우리가 나란히 솟은 산으로 아래 탑사에는 돌을 쌓아 올린 탑들이 서 있다.
t67,대둔산 구름다리,전북,자연,0,바위 봉우리 사이를 잇는 구름다리를 건너며 깎아지른 기암 절경을 내려다본다.
t68,태백산 주목 군락,강원,자연,0,겨울이면 눈꽃이 피는 높은 능선으로 수백 년 묵은 주목이 줄지어 서 있다.
t69,태화강 국가정원,울산,자연,0,도심을 흐르는 강가에 대숲과 꽃밭이 이어진 정원으로 걷거나 자전거를 타기 좋다.
t70,북촌 한옥마을,서울,도시,0,궁궐 사이 언덕에 한옥이 촘촘히 들어선 동네로 골목마다 오래된 담장이 이어진다.
t71,익선동 한옥거리,서울,도시,0,작은 한옥을 고쳐 만든 가게가 좁은 골목에 빼곡히 모인 서울 도심의 골목 상권이다.
t72,홍대 거리,서울,도시,0,"거리 공연과 소극장, 개성 있는 가게가 모인 젊은 층의 놀이터 같은 번화가다."
t73,인사동 거리,서울,도시,0,"전통 공예품 가게와 화랑, 찻집이 늘어선 거리로 외국인에게 한국 전통을 보여 주는 곳이다."
t74,동대문 디자인 플라자,서울,도시,0,곡선으로 이어진 은빛 건물로 전시와 야시장이 열리는 도심의 복합 문화 공간이다.
t75,을지로 골목,서울,도시,0,인쇄소와 공구 상가 사이에 오래된 노포와 작은 술집이 숨어 있는 서울 구도심 골목이다.
t76,감천문화마을,부산,도시,0,산비탈에 알록달록한 집이 계단처럼 쌓인 마을로 골목마다 벽화와 조형물이 놓여 있다.
t77,전포 카페거리,부산,도시,0,공구 상가가 늘어섰던 골목이 카페 거리로 바뀐 곳으로 개성 있는 가게가 줄지어 있다.
t78,인천 차이나타운,인천,도시,0,붉은 패루와 중국식 가게가 이어진 거리로 짜장면이 처음 만들어진 곳으로 알려져 있다.
t79,김광석 다시 그리기 길,대구,도시,0,세상을 떠난 가수의 노래와 삶을 벽화로 그려 놓은 골목으로 방천시장과 이어진다.
t80,동피랑 벽화마을,경남,도시,0,통영 항구가 내려다보이는 언덕 마을로 담벼락마다 그림이 그려져 있다.
t81,군산 근대역사거리,전북,도시,0,일제강점기에 지은 건물이 남아 있는 거리로 옛 은행과 세관 건물을 둘러볼 수 있다.
t82,양림동 근대역사문화마을,광주,도시,0,선교사 사택과 오래된 양옥이 남은 동네로 근대 광주의 흔적을 걸으며 살펴본다.
t83,안목 커피거리,강원,도시,0,바다를 마주 보고 카페가 줄지어 선 강릉의 거리로 원두 볶는 향이 골목에 퍼진다.
t84,행리단길,경기,도시,0,수원 화성 옆 오래된 동네가 카페와 공방이 모인 거리로 바뀐 곳이다.
t85,통인시장 기름떡볶이,서울,미식,0,엽전을 사서 반찬을 골라 담는 도시락 카페와 기름에 볶아 낸 떡볶이로 이름난 시장이다.
t86,망원시장,서울,미식,0,동네 사람들이 장을 보러 오는 골목 시장으로 튀김과 닭강정 같은 먹거리가 즐비하다.
t87,자갈치시장,부산,미식,0,갓 잡아 올린 생선을 그 자리에서 회로 떠 주는 부산 최대의 수산시장이다.
t88,국제시장 먹자골목,부산,미식,0,씨앗호떡과 비빔당면 같은 부산 길거리 음식을 파는 좁고 북적이는 골목이다.
t89,서문시장 야시장,대구,미식,0,해가 지면 노점이 길게 늘어서 온갖 먹거리를 파는 대구의 밤 시장이다.
t90,양동시장,광주,미식,0,"남도 반찬과 홍어, 떡갈비를 파는 광주에서 가장 큰 재래시장이다."
t91,죽도시장,경북,미식,0,포항 앞바다에서 올라온 물회와 대게를 맛볼 수 있는 항구 시장이다.
t92,통영 중앙시장,경남,미식,0,충무김밥과 갓 잡은 해산물을 파는 항구 시장으로 섬 여행객이 들러 배를 채운다.
t93,안동 구시장 찜닭골목,경북,미식,0,간장에 조려 낸 큼직한 찜닭을 파는 가게가 골목 양쪽으로 줄지어 있다.
t94,춘천 닭갈비 골목,강원,미식,0,철판에 고추장 양념 닭갈비를 볶아 파는 가게가 한데 모여 있는 거리다.
t95,강릉 중앙시장,강원,미식,0,"닭강정과 어묵, 수제 도넛을 파는 시장으로 바다 구경을 마치고 들르기 좋다."
t96,제주 동문시장,제주,미식,0,"귤과 갈치, 흑돼지를 파는 제주 도심 시장으로 밤에는 야시장이 함께 열린다."
t97,서귀포 매일올레시장,제주,미식,0,"감귤 주스와 오메기떡, 회를 파는 서귀포의 상설 시장이다."
t98,신포국제시장,인천,미식,0,닭강정과 공갈빵으로 이름난 인천의 오래된 시장 골목이다.
t99,수원 통닭거리,경기,미식,0,커다란 무쇠솥에 튀겨 낸 통닭을 파는 가게가 한 골목에 모여 있다.
t100,대전 중앙시장,대전,미식,0,칼국수와 두부 두루치기 같은 대전 향토 음식을 파는 오래된 시장이다.
