category,question,answer
연구비집행,증빙파일(증빙문서) 수정은 어떻게 해야 하나요?,"수행기관에서 연구비 사용등록 시 첨부한 증빙파일을 수정하는 방법은 다음과 같습니다. 연구비 이체 실행 전 : 연구비 사용 > 연구비 사용 실행 메뉴의 “수정”에서 수정 가능, 연구비 이체 실행 후 : 연구비 현황 > 연구비 사용내역 메뉴의 “증빙파일수정”으로 수정(상시점검 결과 미흡 또는 정산 결과 보완요청 등 발생 시 포함) ※ 참고 : RCMS 사용자 매뉴얼(93 page) 연구비 사용 ▷ 연구비 이체실행,RCMS 사용자 매뉴얼(18 page) 연구비 현황 ▷ 연구비 사용내역"
연구비집행,우리 기관으로 입금된 자금의 출처를 확인하고 싶습니다.,"연구기관으로 자금을 이체하는 경우의 대부분은 연구비 거래내역이며, 기관부담금에서 발생한 이자, 정산금 중 기관잔액지급액이 발생할 수 있습니다.RCMS에서 연구기관의 연구비 계좌로 지급 또는 경유 된 거래 내역은 아래 매뉴를 통해 확인해주시기 바랍니다.1. RCMS 로그인 후 연구비 현황 ▷ RCMS이체내역 메뉴로 이동합니다.2. 입금받은 계좌번호, 금액, 입금일자 등을 조건으로 조회합니다.3. 하단의 연구비 거래내역/ 정산금,이자 지급내역 부분에서 입금내용을 확인합니다.※ 참고 자료:RCMS 사용자매뉴얼(24 page) 연구비 현황 ▷ RCMS이체내역"
연구비집행,본예산금액이 마이너스로 조회됩니다. 왜 그런가요?,"본 예산 금액이 마이너스로 확인되는 경우는 전년도에서 당해연도로 이월한 이월금 금액을 본예산으로 소진한 경우에 발생할 수 있습니다. 초과된 금액을 이월사용금액으로 조정하시기 바랍니다. 이럴경우 아래와 같은 방법으로 금액 수정을 하시기 바랍니다. 1. 정산 - 정산준비 메뉴로 이동합니다. 2. 과제를 선택합니다. 3. ""전년도 이월금 사용등록"" 탭을 클릭하여 이월금으로 사용한 사용내역은 이월금사용금액으로 수정합니다. 4. 마지막으로 ""저장"" 버튼으로 수정금액을 반영합니다. ※ 참고 :RCMS 사용자 매뉴얼(17 page) 연구비현황 ▷ 연구비사용현황, RCMS 사용자 매뉴얼(17 page) 연구비현황 ▷ 연구비사용현황"
연구비집행,수행중인 과제가 정지로 확인됩니다. 정지 사유를 어디서 확인이 가능한가요?,수행기관 과제책임자 및 이체담당자 아이디로 연구비현황 > 연구비 집행상태에서 과제로 조회 시 “사업비 집행제한상태 변경이력”에서 중지 사유를 확인할 수 있습니다. 참고 : RCMS 수행기관용 매뉴얼 연구비현황 > 연구비 집행상태
연구비집행,내부연계시스템을 이용하여 RCMS로 연구비집행을 전송하는 기관입니다.2024년 새로 추가된 부가정보를 내부시스템에 입력하여 RCMS로 전송이 가능한가요?,"기존연계모듈을 이용중인 일부 연구개발기관의 경우 24년 시작 과제 부터 적용된 외부전문기술활용비,회의비,출장비,세부항목의 부가정보는 내부연계시스템에서 전송이 불가하며,연구개발비 집행후 RCMS시스템 내 연구비 현황 ▶연구비사용내역에서 추가입력이 가능합니다. 추후 현재 시범운영 중인 통합연계모듈(25년 2월기준)을 적용하여 이용하는 기관에 한해 내부연계시스템을 통해 부가정보를 입력하여 전송가능합니다.※참고 -공지사항▶일반공지▶RCMS시범기관 대상 연계모듈 및 연구비카드 설명회 자료 내 첨부파일 15P참고"
연구비집행,기관부담금을 가상계좌에입금하지 않고 교비로 관리하는 대학교 입니다.RCMS에서 기관부담금 납부 제외신청은 어떻게 하나요?,"RCMS시스템상 연구개발기관은 연구비(기관부담금)을 RCMS가상계좌 입금후 사용해야 하나, 각 대학규정에 따라 연구비를 자체적으로 관리해야 하는경우RCMSdptj 기관부담금을 납부제외신청을 할수 있습니다.기관부담금 납부제외신청이 가능한 대상 기관과 신청 방법은아래를 참조하시기 바랍니다.① 적용대상기관은 기관부담금(현금)이 책정된 대학교이며, 기관부담금 미입금 사유가 교비로 확인되는 경우만 가능합니다.② 신청 시 연구개발기관 담당자소속정보가 '대학'인 경우, 신청할 수 있으며 전문기관 과제담당자와 사전 협의하여 관련 근거 등 사유를 기재하여야 합니다.③ RCMS 연구개발기관 ▶ 연구비현황 ▶ 가상계좌발급현황에서 신청 과제를 선택 후 하단 ‘납부제외신청’ 버튼을 클릭합니다.납부제외신청 팝업 창에서 신청 사유 작성 및 관련 근거 등을 확인할 수 있는 첨부파일을 첨부하여 신청을 완료합니다.④ 연구개발기관에서 기관부담금 납부제외신청 후 전문기관 과제담당자가 승인 또는 반려할 수 있으며 진행상태에 따라 연구개발기관 과제책임자에게 문자메시지가 발송됩니다.⑤ 기관부담금 납부제외신청 후 승인/반려 여부는 동일 신청 메뉴에서 확인할 수 있습니다.※ 참고- RCMS 공지사항 ▶ 일반공지 ▶ 교비 납부제외신청 관리기능 안내- RCMS 연구개발기관 ▶ 연구비현황 ▶ 가상계좌발급현황"
연구비집행,"RCMS사이트 이용시 각 메뉴별로 과제조회시 목록에 조회되는 국가연구배랍혁신법 여부의 N,Y 는 무엇을 의미하나요?","각 부처별로 구분하여 규정을 적용한 기준과 달리 2021년 이후 국가연구개발혁신법 고시에 따른 연구비관리 규정을 일원화한 기준이 마련됨에 따라, 국가연구개발혁신법을 적용받는 과제의 경우 공통항목과 세부항목을 통합하여 연구비를 산정, 집행하도록 반영하였습니다- 전문기관 및 과제 특성에 따라 국가연구개발혁신법 적용여부는 다를 수 있으며, 국가연구개발혁신법을적용받는 항목체계의 경우 과제 목록에 Y로 표기되며, 이 경우 국가연구개발혁신법 연구개발비 사용 기준에 명시된 항목 및 사용기준을 공통 적용합니다.- 국가연구개발혁신법 이전 고시 및 비R&D 등 다른 항목체계의 과제를 수행하는 경우 N으로 표기됩니다.※ 참고- RCMS 이용가이드 ▶ 관계법령 ▶ 국가연구개발혁신법 행정규칙 ▶ 국가연구개발사업 연구개발비 사용기준. 제2장 연구개발비의 계상기준, 인정기준 및 사용절차. 제1절 사용용도. 제5조(직접비와 간접비의 사용용도)① 법 제13조제3항제1호에 따른 직접비는 인건비, 학생인건비, 연구시설ㆍ장비비, 연구재료비,연구활동비,연구수당, 보안수당, 위탁연구개발비, 국제공동연구개발비, 연구개발부담비로 사용할 수 있다.② 법 제13조제3항제2호에 따른 간접비는 인력지원비, 연구지원비, 성과활용지원비로 사용할 수 있다.- 국가연구개발사업 연구개발비 사용기준 전문 중 일부 발췌 -"
연구비집행,"RCMS연구비사용현황에 연구개발비의 재원이 본예산,계속비,이월금으로 구분되어 조회됩니다.계속비와 이월금의 차이는 무엇인가요?","계속비""는 동일 단계 내 연차간 이월을 반영한 재원이며 과제담당자를 통한 별도의 승인 없이[계속비편성등록]메뉴에서 필수로 신청해야 하며, 잔액 모두 차년도로 계속비 편성 됩니다.'단계 이월금'은 동일과제 단계 간 이월을 반영한 재원이며 과제담당자를 통해 승인을 받은 후전문기관 과제관리사이트(PMS)에서 단계이월승인정보 연계를 통해 처리 됩니다.※ 참고- 고객지원 ▶ 자료실 ▶ 이용매뉴얼 ▶ RCMS 매뉴얼 초보자용 첨부파일 77P 참고"
연구비집행,기존 내부연계시스템을 이용하여 RCMS연구개발비를 사용하는기관은 새로 구현된 통합연계모듈로 필수 변경해야 하나요?,"아닙니다. 선정된 일부 연구개발기관에 한해 시범운영 중(25년 2월 기준)이며 시스템 안정화에 따라 확장될 예정으로 기존 연계서비스 이용기관은 그대로 이용 가능하고 통합연계모듈의 이용을 원하는 기관은 추후 관련 내용 공지에 따라 신청하시면 됩니다.ㅇ 통합연계모듈서비스란?RCMS와 EZ baro 모두 이용가능한 서비스로 기존 통신방식인 SSL VPN연계의 제약이 없는 HTTPS 방식의 연계시스템입니다.고도화 된 통합연계시스템 이용 시 연계모듈 내에서 연구비카드를 연계·관리하고, 본예산 / 계속비 / 이월금 재원과 부가정보 전송 서비스 이용이 가능합니다.※ 참고- 공지사항 ▶ 일반공지 ▶ RCMS시범기관 대상 연계모듈 및 연구비카드 설명회 자료 내 첨부파일 17P 참고"
연구비집행,계속비 또는 단계이월금으로 편성된 연구비를 다른 항목으로 한도 전용(변경)이 가능한가요?,"국가연구개발혁신법 매뉴얼 제13절 사용절차 및 사전승인대상에 명시된 내용과 같이 (아래 근거 참조) 단계 이월금의 항목 간 전용이 가능하다는 내용에 따라 전문기관 과제관리사이트에서 이월금에 대한 항목간 한도전용 시 RCMS에서도 해당 정보가 반영되도록 개선이 되었습니다.- 일괄 또는 단계정산 형태의 국가연구개발혁신법 적용 과제는 전문기관 과제관리사이트에서 단계이월금 및 계속비의 항목간 한도 전용시 RCMS에 반영되니 과제관리사이트에서 진행하시면 됩니다.ㅇ 이월금 변경 가능 과제관리사이트 : IRIS, SMTECH (25년 2월 기준)- 연구기관에서는 연구비현황 ▶ 연구비사용현황 메뉴에서 항목별 협약한도를 확인할 수 있고,이월금을 변경한 경우 연구비정산 ▶ 계속비편성 ▶ 계속비편성관리 탭에서 변경 전/후의 금액 확인 가능합니다.※ 참고- 국가연구개발혁신법매뉴얼 제 13절 사용절차 및 사전승인대상/ 마. 연구개발비 사용 계획의 변경을 위하여 사전 승인- 중앙행정기관의 장의 사전 승인이 필요한 경우. 해당 단계의 연구개발비 중 직접비(현물 및 연구수당 제외)를 다음 단계의 연구개발비에 포함하여 사용하려는 경우◎ 이월된 연구개발비는 동일 항목으로 사용하여야 하되, 직접비 내 항목 간 전용이 가능함. 단, 연구수당의 경우에는 증액이 불가함"
연구비집행,전자(세금)계산서 증빙으로 어떻게 등록하나요?,"RCMS는 전자(세금)계산서의 정확성을 확보하기 위하여 국세청과 직접 연계된 전자(세금)계산서를 사용합니다. 1.연구비사용 > 연구비사용등록 메뉴에서 증빙구분 '세금계산서'를 선택하면 전자세금계산서 내역조회 창을 통해 해당 수행기관 앞으로 발급된 계산서를 조회 하실 수 있습니다. 계산서 조회시 필요한 사항: 연계된 전자(세금)계산서를 RCMS에서 조회하기 위해 국세청 ‘홈택스 (www.hometax.go.kr)’사이트에 법인공동인증서 등록을 포함한 회원가입을 선행하셔 야 하며, RCMS에서 세금계산서 조회시 국세청에 등록한 법인 공동인증서로 인증하셔야합니다. 세금계산서 조회후 내역조회 왼쪽 하단의 “부가세를 제외한 공급가액만 등록합니다.”를 선택하면 부가세를 제외한 공급가액만 등록가능하며, 사용등록 화면의 부가세 란에서 금액수정도 가능합니다. 위와 같은 경우 부가세는 거래처로 송금이 되지 않으므로 기관자금으로 거래처로 부가세 금액만큼 별도 송금을 해주셔야 합니다. ※ 참고 : 사용자 매뉴얼(30 page) 연구비 사용 ▷ 연구비 사용 등록 ▷ 전자(세금)계산서"
연구비집행,전자(세금)계산서 증빙등록시 오류 발생합니다. 어떻게 하나요?,"RCMS 메인 화면의 공지사항 중 ""RCMS 전자세금계산서 조회 프로그램 변경 안내"" 게시물 및 첨부파일을 참조하세요.장애대응 : RCMS 전자세금계산서 프로그램 설치 가이드(첨부1) 참고.전자세금계산서 모듈 설치 방법 : 2 ~ 3 page.프로그램 설치 후 정상 작동되지 않는 경우 확인 방법 : 4 ~ 9 page* 내부 방화벽 사용기관 확인 사항 *1. 쿠콘 스크래핑 업데이트 서버 및 홈택스 방화벽 허용 선행 : 7 page.2. setigo 인증서 설치 확인 : 8 ~ 9 page.3. setigo 인증서 미설치 시 인증서 설치 방법 안내 : 10 ~ 15 page3. setigo 인증서 미설치 시 인증서 설치 방법 안내 : 10 ~ 15 page※ 참고RCMS 포털: 공지사항 ▷ 일반공지 [RCMS 전자세금계산서 조회 프로그램 변경 안내]"
연구비취소,연구비 사용 후 취소방법이 어떻게 되나요?,"연구비 취소 > 연구비취소/부가세복원 > 연구비 이체 취소 메뉴에서 취소할 집행 건을 선택하고 다음단계에서 취소내역을 입력할 수 있습니다. ‘○ 전체’ 또는 ‘○ 부분’ 을 선택하여 취소할 금액을 입력 후 세목에 따라 e-Tube 연구장비, 인건비내역, 증빙파일을 수정하고 ‘입력완료 및 가상계좌 발급’ 버튼을 클릭하면 취소할 금액의 가상계좌가 발급되며 해당 금액을 가상계좌로 입금하면 취소 및 복원이 완료됩니다. 연구비취소/부가세복원 메뉴에서 여러 집행 건을 한 번에 입금하도록 요청할 수 있으며 다 건으로 요청할 수도 있습니다. 연구비 취소 > 취소/복원 요청 내역 메뉴에서 복원한 건을 조회, `요청일시'를 클릭하면 상세 세부내역을 조회할 수 있습니다. ※ 참고 : RCMS 사용자 매뉴얼(108 page) 연구비 취소 ▷ 취소/복원내역등록,RCMS 사용자 매뉴얼(107 page) 연구비 취소 ▷ 취소/복원 가상계좌조회"
연구비취소,취소 요청 후 가상계좌로 입금이 안됩니다. 어떻게 해야 하나요?,가상계좌 입금 전 확인 사항은 아래와 같습니다. 1. 가상 계좌번호 확인 및 입금 유효기간 경과여부 확인. 2. 신청금액과 입금하고자 하는 금액 일치여부 확인. 3. 연구비복원 진행상태가 `입금대기' 인지 확인. ( 산업통상자원부 과제의 경우 연구비 취소 요청 금액이 1천만원 이상인 경우는 전담기관 과제 담당자의 승인이 완료되어야 가상계좌 상태가 입금대기로 변경됩니다.) ※ 참고 :RCMS 사용자 매뉴얼(107 page) 연구비 취소 ▷ 취소/복원 가상계좌조회
연구비취소,가상계좌 입금마감일 경과한 경우 어떻게 하나요?,"1.기관부담금 입금 마감일이 경과한 경우, 기관부담금을 마감일까지 입금하지 못하면 가상계좌가 비 활성화되어 입금이 불가하며 사업비 집행도 중지됩니다. 기관부담금 입금 마감일이 경과한 경우 기관부담금 입금 마감일을 연장하셔야 가상계좌로 입금이 가능하므로 전담기관 과제담당자에게 문의해 주시길 바랍니다. 2.연구비이체취소 및 부가세복원 요청건의 입금 마감일이 경과한 경우 연구비 취소 > 취소/복원 요청 내역에서 입금일이 경과한 건을 요청 취소하고 다시 취소 요청하여 가상계좌로 입금 하시면 됩니다. ※ 참고 : RCMS 사용자 매뉴얼(107 page) 연구비 취소 ▷ 취소/복원 가상계좌조회"
연구비취소,부가세를 사업비로 사용할 수 있나요?,"국가연구개발사업 연구개발비 사용기준 제21조④항에 따라 환급받을 수 있는 관세, 부가가치세 등에 해당하는 금액은 계상이 불가합니다. 따라서 부가세 환급 가능한 모든 관세, 부가가치세 등의 금액을 집행금액으로 포함시킨 경우는 불인정 될 수 있으므로 집행금액에서 제외해야 하며, 세무당국이 사후 환급이 불가함을 인정하는 경우에는 예외로 합니다. 환급 가능한 부가가치세를 집행금액에 포한시킨 경우 아래 방법으로 복원 가능합니다. ① 연구비취소 > 연구비취소/부가세복원 메뉴에서 '부가세 복원' 탭에서 부가세복원 대상 조회 ② 대상 선택후 우측하단 '부가세 복원 실행' 클릭 ③ 연구비 취소 > 취소/복원 요청 내역에서 가상계좌 확인후 입금(입금후 사업비(연구비) 한도반영에 소요되는 시간은 1시간 정도입니다.) 연구비 취소 > 취소/복원 요청 내역 메뉴의 가상계좌발급증명서 버튼을 클릭하여 가상계좌발급증명서 확인 가능합니다. ※ 참고 : 국가연구개발사업 연구개발비 사용기준(고시 제2023-49호) 제21조(연구개발비 공통 계상기준) ④항.RCMS 사용자 매뉴얼(107 page) 연구비 취소 ▷ 취소/복원 가상계좌조회"
연구비취소,부가세 복원은 언제 할 수 있나요?,연구비 사용등록 내역이 결제완료된 이후 부가세 복원이 가능합니다. 부가세를 포함하여 사업비(연구비)를 이체한 경우에는 부가세 또한 총 사용금액에 포함되므로 부가세 금액만큼을 복원해야 사업비(연구비)를 원활하게 사용하실 수 있습니다. 수행기관 내부 회계처리 및 RCMS 연구비 상시점검을 위해 한 달에 한 번 정도로 복원하시기를 권장하고 있으며 과제 종료 후 보고서 제출 전까지는 부가세 복원 요청하여 가상계좌로 입금하실 수 있습니다. ※ 참고 :RCMS 사용자 매뉴얼(108 page) 연구비 취소 ▷ 취소/복원내역등록
연구비정산,과제기간 종료 이후 사업비(연구비) 집행이 가능한가요?,"연구개발비는 연구개발기간내 사용을 원칙으로 합니다. 단, 보고서 발간 및 평가 관련 비용, 정산 수수료, 공공요금, 제세공과금,연구수당, 연구개발기간 종료일 이전에 지출원인행위 한 금액은 사용실적 보고일까지 사용할 수 있습니다. ※ 참고 : 국가연구개발사업 연구개발비 사용 기준 제22조(연구개발비 공통 인정기준)④항"
연구비정산,상시점검이 무엇인가요?,"전담기관또는 회계기관 정산 담당자가 연구기관의 연구비 사용내역 검토하여 연구비 사용의 적정성 여부를 판단하는 절차로 부정사용 방지 및올바른 연구비 집행을 유도하기 위하여 분기(반기)별로 실시하는 중간 점검입니다.. 상시점검결과 확인: 연구비정산>연구비상시점검에서 '상시점검검토결과서' 통해 확인 가능합니다. 상시점검 미흡사항 수정: 연구비 현황 > 연구비사용내역에서 조회 조건의 점검상태를 '미흡'으로 변경후 조회하면 상시점검 미흡내역만 조회할수 있습니다. '증빙파일수정'버튼을 통해 미흡한 증빙서류 수정 가능합니다. ※ 참고 : RCMS숙련자용 매뉴얼(116 page) 연구비 정산 ▷ 연구비 상시점검,국가연구개발사업 연구개발비 사용 기준(고시 제2023-49호) 제82조(연구개발비 상시점검)"
연구비정산,카드대금 선입금은 어떤 메뉴인가요?,정산준비를위해 연구비로 사용등록한 카드사용 내역에 대하여 카드결제일 이전에 선입금 요청하는 매뉴입니다.카드선입금요청은 과제 종료일 한달전~과제종료후+3개월(보고서 제출 전)까지 가능합니다. 카드선입금요청하면 익영엽일에 카드대금 결제계좌로 입금됩니다.연구비 정산 > 카드대금 선입금 메뉴에서 신청 가능하며 카드사로 요청하는 카드선결제 업무와는 별개입니다. (카드대금 선결제을 요청하는 경우는 카드사로 요청하셔야 합니다. ) 카드대금 선입금 요청 내역은 연구비 정산 > 카드대금 선입금 메뉴의 '카드선입금 처리내역'에서 확인할 수 있습니다. 선입금 요청한 내역을 취소하고자 하는 경우 /카드선입금 처리내역'에서 취소 대상을 선택하고 '선입금취소' 버튼을 클릭합니다. 카드 선입금 취소는 카드 선입금 요청 당일만 가능합니다. ※ 참고 : RCMS 수행기관용 매뉴얼(120page) 연구비 정산 > 카드대금 선입금
연구비정산,정산 방법 및 사용실적보고서 제출 방법은 어떻게되나요?,"연구개발과제가 끝나는 날(단계가 있는 경우 해당 단계의 연구개발과제가 끝나는 날을 말함)부터 3개월 이내에 RCMS를 통하여 연구개발비 사용실적보고서에 해당 단계의 연구개발비 사용용도와 사용실적을 적어 해당 중앙행정기관의 장에게 제출해야합니다. 제출서류 : 사용실적보고서, 자체 회계감사 의견서, 연구개발비 사용 증명자료, 현물부담 확인서(해당 시),연구개발기관의 자체규정(해당 시) 등, RCMS에서는 연구비 정산 > 정산 준비 메뉴에서 정산 전 준비사항, 정산서류등록, 전년도이월금사용등록, 차년도이월금신청등록, 위탁과제정산등록, 수익금등록 후 집행마감을 하여 사업비(연구비) 집행을 마감합니다. 연구비 정산 > 사용실적보고서 제출 메뉴에서 마지막으로 사업비 사용실적보고서를 조회하여 사업비 집행내역을 최종 검토 후 `보고서제출' 버튼을 클릭하여 정산준비를 완료하도록 합니다. 사업비 사용실적보고서는 수행기관별로 제출해야 합니다. 연구개발비 사용실적보고서를 제출받은 중앙행정기관의 장은 해당 보고서에 적힌 사용용도와 사용실적이 연구개발비 정산 기준에 적합한지 여부를 검토하는 방법으로 연구개발비의 정산을 실시 합니다. ※ 참고 : 국가연구개발사업 연구개발비 사용 기준 제80조(연구개발비 정산기준), 제81조(연구개발비 정산 방법), RCMS숙련자용 매뉴얼( 130 page) 정산준비 ▷ 정산 전 준비사항"
